mol_name;activity;potency;receptor
CHEMBL1488035;Active;5.56542045162365;R1
CHEMBL1372068;Active;6.790619047653804;R3
CHEMBL1368561;Active;5.188585873731878;R2
CHEMBL1304398;Active;5.047127677357636;R1
CHEMBL1416354;Active;5.122018536273375;R1
CHEMBL1554400;Active;5.558136048505611;R3
CHEMBL1481470;Active;4.947127222505795;R1
CHEMBL1451013;Active;5.247126024768816;R1
CHEMBL1553795;Active;5.198592859550049;R2
CHEMBL1492671;Active;6.447149345539438;R1
CHEMBL1593406;Active;5.198297943668688;R1
CHEMBL1587117;Active;5.647123166022283;R3
CHEMBL1373914;Active;5.048083160737221;R1
CHEMBL1514491;Active;4.916871995267189;R2
CHEMBL1366140;Active;5.0713251212502914;R1
CHEMBL1416417;Active;5.147126757574895;R2
CHEMBL1428196;Active;5.088586685753258;R1
CHEMBL1521694;Active;5.447125026215773;R2
CHEMBL1531257;Active;4.947127222505795;R1
CHEMBL1487369;Active;7.167810538931487;R1
CHEMBL1422597;Active;4.988586049013409;R3
CHEMBL1342119;Active;5.424592753183676;R2
CHEMBL1466028;Active;5.047127677357636;R1
CHEMBL1512098;Active;5.020497151212599;R1
CHEMBL1514738;Active;4.935588188215979;R1
CHEMBL1437035;Active;5.635711724385564;R1
CHEMBL1429722;Active;5.047127677357636;R1
CHEMBL1610065;Active;5.179788685229466;R1
CHEMBL587849;Active;5.447125026215773;R1
CHEMBL1409101;Active;5.047127677357636;R1
CHEMBL1371789;Active;5.188585873731878;R3
CHEMBL1600154;Active;5.1985276864785295;R2
CHEMBL1398137;Active;4.947127222505795;R3
CHEMBL1474284;Active;5.022924891726672;R2
CHEMBL1364048;Active;4.900942939539437;R1
CHEMBL3190400;Active;5.124594332914732;R2
CHEMBL254609;Active;5.147126757574895;R3
CHEMBL1575028;Active;4.947127222505795;R1
CHEMBL1395128;Active;5.688585232837641;R2
CHEMBL1592283;Active;4.924595393740839;R1
CHEMBL259421;Active;5.488584592791225;R2
CHEMBL1305169;Active;4.935553242672165;R1
CHEMBL374632;Active;6.447149345539438;R1
CHEMBL1552079;Active;4.975575909607726;R1
CHEMBL1362432;Active;4.955489637792234;R1
CHEMBL1541182;Active;5.547125356244051;R2
CHEMBL1603853;Active;5.547125356244051;R1
CHEMBL1438469;Active;4.947127222505795;R1
CHEMBL1591692;Active;6.000043431619808;R3
CHEMBL1442780;Active;5.364044013716728;R1
CHEMBL1554426;Active;4.955489637792234;R1
CHEMBL28;Active;5.081936445503397;R1
CHEMBL246957;Active;5.488584592791225;R1
CHEMBL3191239;Active;4.918555472970322;R2
CHEMBL1602746;Active;4.903707123426888;R1
CHEMBL1314693;Active;5.187507779053734;R2
CHEMBL1560969;Active;6.3554137164372495;R1
CHEMBL1383967;Active;5.41695716914624;R2
CHEMBL10284;Active;4.947127222505795;R3
CHEMBL1404188;Active;4.900856517592136;R3
CHEMBL1535800;Active;5.479791673114009;R1
CHEMBL1595162;Active;4.947127222505795;R3
CHEMBL1596612;Active;5.440727932192605;R1
CHEMBL1404788;Active;5.547125356244051;R3
CHEMBL1364285;Active;5.147126757574895;R2
CHEMBL1389366;Active;5.298561545535648;R2
CHEMBL1434038;Active;5.447125026215773;R3
CHEMBL1398221;Active;4.974280522861758;R1
CHEMBL1589870;Active;6.679749828113566;R1
CHEMBL1513594;Active;5.324592891343988;R2
CHEMBL1434537;Active;5.396709443120034;R1
CHEMBL1436251;Active;5.164068572821774;R2
CHEMBL1413931;Active;5.0220204649673885;R3
CHEMBL260451;Active;5.155488653643696;R1
CHEMBL1555873;Active;5.088586685753258;R3
CHEMBL1579151;Active;5.02459346862474;R1
CHEMBL1473394;Active;5.077426770652137;R1
CHEMBL149322;Active;5.047127677357636;R1
